Old Title,New Title,Old Author,New Author,Error
That Hideous Strength,That Hideous Strength,C.S. Lewis,C.S. Lewis,Unexpected response format
"Deep Survival: Who Lives, who dies, and why","Deep Survival: Who Lives, who dies, and why",Laurence Gonzales,Laurence Gonzales,Unexpected response format
Human Chord,The Human Chord,Blackwood Algernon,Algernon Blackwood,
Jacob's Ladder,Jacob's Ladder,Bruce Joel Rubin,Dennis McDougal,
Generation Kill,Generation Kill,Robert T. Hogue,Evan Wright,
Pillars of the Earth and World without end,Pillars of the Earth and World without end,Ken Follet,Ken Follet,Unexpected response format
Space Odyssey 2001,2001: A Space Odyssey,Arthur C. Clarke,Arthur C. Clarke,
The Moral economy of the peasant,The Moral Economy of the Peasant: Rebellion and Subsistence in Southeast Asia,James Scott,James C. Scott,
Three Comrades,Three Comrades,Erich Remarque,Erich Maria Remarque,
Cobalt Red,Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddarth Kara,Siddharth Kara,
Leviathan and its enemies,Leviathan and Its Enemies,Samuel Francis,Samuel T. Francis,
Lady Joker,Lady Joker,Koru Takamura,Kaoru Takamura,
The Reset,The Reset,Jack Moore,Steven Groovy,
The rise and fall of the thid reich,The Rise and Fall of the Third Reich,William Shirer,William Shirer,
The Island,Island,Aldous Huxley,Aldous Huxley,
Life's Ratchet,Life's Ratchet: How Molecular Machines Extract Order from Chaos,Peter Thomson,Peter M. Hoffmann,
