Book,Author,Times mentioned
Malazan Book of the Fallen,Steven Erikson,
Children of Time,Adrian Tchaikovsky,
S. / Ship of Theseus,JJ Abrams,
Seveneves,Neal Stephenson,
Replay,Ken Grimwood,
Musashi,Eiji Yoshikawa,
Hyperion,Dan Simmons,
The Gulag Archipelago,Aleksandr Solzhenitsyn,
Speaker for the Dead,Orson Scott Card,
Story of your life & exhalation,Ted Chiang,
The Goal,Eliyahu Goldratt,
QED: The strange theory of light and matter,Richard Feynman,
Surreal Numbers,Knuth,
The High Cost of Good Intentions,John F Cogan,
Running the Light,Sam Tallent,
Guards Guards,Terry Pratchett,
Quicksilver,Neal Stephenson,
The Confusion,Neal Stephenson,
The System of the World,Neal Stephenson,
LOTR Series,J.R.R. Tolkien,
Fanged Noumena,Nick Land,
Unqualified Reservations,Curtis Yarvin,
Bloody Shovel,Spandrell,
Animal Farm,George Orwell,2
The Beginning of Infinity,David Deutsch,
What has Government done to our money?,Murray N Rothbard,
Vietnam Inc.,Philip Jones Griffiths,
The Forever War Series,Joe Haldeman,
Sinister Forces,Peter Lavenda,
Lake Success,Gary Shteyngart,
The Master and Margarita,Mikhail Bulgakov,
John Dies at the End,David Wong,
The Reapers Are the Angels,Alden Bell,
"The Mission, the Men, and Me",Pete Blaber,
Project Hail Mary,Andy Weir,
The Fund,Rob Copeland,
Fooled by Randomness,Nassim Nicholas Taleb,
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,3
"The Lion, The Witch, and the Wardrobe",C.S. Lewis,
Catch 22,Joseph Heller,
Deep Work,Cal Newport,
One Second After,William R. Forstchen,
Slaughterhouse Five,Kurt Vonnegut,2
Jerusalem,Alan Moore,
The End of History and the Last Man,Francis Fukuyama,
Coming through Slaughter,Michael Ondaatje,
I Could Read the Sky,Timothy O'Grady,
The Black House,Peter May,
The Denial of Death,Ernest Becker,
The Rape of the Mind,Joost Meerloo,
Man's Search for Meaning,Viktor Frankl,
The Case of Sargent Grischa,Arnold Zweig,
The Space Trilogy,C.S. Lewis,
Empire of the Summer Moon,SC Gwynne,
Siddhartha,Hermann Hesse,
"A Clean, Well-Lighted Place",Ernest Hemingway,
The Three Hermits,Leo Tolstoy,
The Storm Before the Calm,George Friedman,
Smoke Gets in Your Eyes,Caitlin Doughty,
The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,Daniel James Brown,
Art of the Deal,Donald J. Trump,
Art of War,Sun Tzu,2
Essays in Idleness,Kenko,2
Revelation space,Alastair Reynolds,
The Great Escape,Paul Brickhill,
Travels,Michael Crichton,
Travis McGee Series,John D. MacDonald,
Candide,Voltaire,
Millionaire Next Door,Thomas J. Stanley,
Factfulness,Hans Rosling,
The Mandibles,Lionel Shriver,2
The Road,Cormac McCarthy,
Road to Serfdom,Friedrich Hayek,
Reilly's Luck,Louis L'Amour,
The Dream Machine,M. Mitchell Waldrop,
Beyond Good and Evil,Friedrich Nietzsche,2
Prometheus Rising,Robert Anton Wilson,2
The Power and the Glory,Graham Greene,
The Entangled Life,Merlin Sheldrake,
Dr. Mary's Monkey,Edward T Haslam,
Book of Tea,Okakura Kakuzo,
Who Killed Kurt Cobain?,Ian Halperin and Max Wallace,
First Light,Geoffrey Wellum,
Age of Entitlement,Christopher Caldwell,
A Confederacy of Dunces,John Kennedy Toole,
In the heart of the sea,Nathaniel Philbrick,
Redwall series,Brian Jacques,
Lolita,Vladamir Nabokov,
The Alchemist,Paulo Coelho,
Bhagavad Gita,Unknown,
Amusing Ourselves to Death,Neil Postman,
Blitzed,Norman Ohler,
"Free Women, Free Men",Camille Paglia,
Our Inner Ape,Frans de Waal,
On Writing,Stephen King,
Life at the bottom,Theodore Dalrymple,
Keepers of the garden,Dolores Cannon,
Feersum Endjinn,Iain M Banks,
Lord of the World,Robert Hugh Benson,
Teatro Grottesco,Thomas Ligotti,
Paradise Lost,John Milton,
Teach Us to Sit Still,Tim Parks,
Nostromo,Joseph Conrad,
The Milagro Beanfield War,John Nichols,
Open Veins of Latin America,Eduardo Galeano,
Bronze Age Mindset,Bronze Age Pervert,
War and Peace,Leo Tolstoy,
Beowulf,Various Translations,
The Machine Stops,E.M. Forster,
The Dancing Wu Li Masters,Gary Zukav,
The Mind Illuminated,John Yates,
Foucault's Pendulum,Umberto Eco,
The Matarese Circle,Robert Ludlum,
The Price of Tomorrow,Jeff Booth,
The Body keeps the score,Bessel van der Kolk,
Ubik,Philip K. Dick,
Horus Rising,Dan Abnett,
Hell in a very small place,Bernard Fall,
That Hideous Strength,C.S. Lewis,
"Deep Survival: Who Lives, who dies, and why",Laurence Gonzales,
Propaganda,Edward L Bernays,
The Human Chord,Algernon Blackwood,
The Blind Watchmaker,Richard Dawkins,
The Revolt of Angels,Anatole France,
The Match King,Frank Partnoy,
The South,Colm Toibin,
Hiding in Plain Sight,Sarah Kendzior,
Human Action,Ludwig von Mises,
West With the night,Beryl Markham,
Jacob's Ladder,Dennis McDougal,
Generation Kill,Evan Wright,
Waiting for Godot,Samuel Beckett,
Eating Animals,Jonathan Safran Foer,
Pillars of the Earth and World without end,Ken Follet,
2001: A Space Odyssey,Arthur C. Clarke,
Leave Society,Tao Lin,
The Moral Economy of the Peasant: Rebellion and Subsistence in Southeast Asia,James C. Scott,
Three Comrades,Erich Maria Remarque,
Lonesome Dove,Larry McMurtry,
Stand on Zanzibar,John Brunner,
Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,
How the world really works,Vaclav Smil,
The laws of human nature,Robert Greene,
Broken Money,Lyn Alden,
Our Mathematical Universe,Max Tegmark,
The Creative Act,Rick Rubin,
"Memories, Dreams, Reflections",CG Jung,
Leviathan and Its Enemies,Samuel T. Francis,
Lady Joker,Kaoru Takamura,
1Q84,Haruki Murakami,
The Gate Thief,Orson Scott Card,
Ends and Means,Aldous Huxley,
A Canticle for Leibowitz,Walter M Miller,
The Reset,Steven Groovy,
The Rise and Fall of the Third Reich,William Shirer,
Island,Aldous Huxley,
Divided Kingdom,Rupert Thomson,
Life's Ratchet: How Molecular Machines Extract Order from Chaos,Peter M. Hoffmann,
The Moviegoer,Walker Percy,
