Book,Author,Times mentioned,rating,num_ratings
The Fiat standard,Saifedean Ammous,,4.26,1235
The Bitcoin Standard,Saifedean Ammous,,4.17,11115
The Problem of Political Authority,Michael Huemer,,4.39,645
Moby Dick,Herman Melville,,3.91,45
The Diamond Age,Neal Stephenson,,4.0,3
Snow Crash,Neal Stephenson,4,4.46,1241
The War of Art,Steven Pressfield,,3.97,99
The Stranger,Albert Camus,2,4.1,284
The Trial,Franz Kafka,,3.95,337708
Stormlight Archive,Brandon Sanderson,,4.8,2470
We,Yevgeny Zamyatin,,3.81,57
Confessions of an Economic Hitman,John Perkins,,3.87,37660
The Book of Mormon,Joseph Smith,,3.83,12
The Pilgrim's Progress Reloaded,David Umstattd,,4.8,5
The Illuminatus! Trilogy,Robert Anton Wilson,,4.01,15776
The Quantum Thief,Hannu Rajaniemi,,3.83,22488
Mere Christianity,C.S. Lewis,,4.15,34
The Long Walk,Slawomir Rawicz,,,
S. / Ship of Theseus,JJ Abrams,,3.86,25928
The Prophet,Kahlil Gibran,,3.97,59
Children of Time,Adrian Tchaikovsky,,4.3,132598
Seveneves,Neal Stephenson,,3.93,374
Musashi,Eiji Yoshikawa,,3.75,4
Replay,Ken Grimwood,,4.0,13
Hyperion,Dan Simmons,,4.43,3882
The Gulag Archipelago,Aleksandr Solzhenitsyn,,5.0,2
The Goal,Eliyahu Goldratt,,4.08,574
Speaker for the Dead,Orson Scott Card,,0.0,0
Story of your life & exhalation,Ted Chiang,,4.26,108277
QED: The strange theory of light and matter,Richard Feynman,,4.27,18524
Surreal Numbers,Knuth,,3.84,463
The High Cost of Good Intentions,John F Cogan,,4.29,100
Running the Light,Sam Tallent,,4.4,2195
Guards Guards,Terry Pratchett,,4.87,15
Quicksilver,Neal Stephenson,,0.0,0
The Confusion,Neal Stephenson,,4.27,24496
The System of the World,Neal Stephenson,,0.0,0
LOTR Series,J.R.R. Tolkien,,,
Unqualified Reservations,Curtis Yarvin,,4.75,20
Fanged Noumena,Nick Land,,3.89,1003
Bloody Shovel,Spandrell,,0.0,0
Animal Farm,George Orwell,2,4.05,243
Vietnam Inc.,Philip Jones Griffiths,,4.45,96
The Beginning of Infinity,David Deutsch,,4.18,8078
What has Government done to our money?,Murray N Rothbard,,5.0,3475
The Forever War Series,Joe Haldeman,,4.2,102
Sinister Forces,Peter Lavenda,,,
Lake Success,Gary Shteyngart,,3.62,11182
The Master and Margarita,Mikhail Bulgakov,,3.75,8
John Dies at the End,David Wong,,0.0,0
The Reapers Are the Angels,Alden Bell,,3.89,12239
"The Mission, the Men, and Me",Pete Blaber,,4.33,5284
Project Hail Mary,Andy Weir,,3.5,8
Fooled by Randomness,Nassim Nicholas Taleb,,2.0,2
The Fund,Rob Copeland,,1.0,4158
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,3,4.0,5
"The Lion, The Witch, and the Wardrobe",C.S. Lewis,,3.8,10
Catch 22,Joseph Heller,,3.82,160
One Second After,William R. Forstchen,,3.97,67638
Slaughterhouse Five,Kurt Vonnegut,2,3.5,4
Deep Work,Cal Newport,,4.07,60
Coming through Slaughter,Michael Ondaatje,,0.0,0
The End of History and the Last Man,Francis Fukuyama,,3.6,7006
Jerusalem,Alan Moore,,4.11,9
The Black House,Peter May,,4.08,40663
The Denial of Death,Ernest Becker,,4.08,13604
The Rape of the Mind,Joost Meerloo,,4.17,6
The Case of Sargent Grischa,Arnold Zweig,,,
Man's Search for Meaning,Viktor Frankl,,4.56,25
The Space Trilogy,C.S. Lewis,,4.17,11131
Empire of the Summer Moon,SC Gwynne,,3.75,4
Siddhartha,Hermann Hesse,,4.31,32
The Three Hermits,Leo Tolstoy,,3.6,15
"A Clean, Well-Lighted Place",Ernest Hemingway,,0.0,0
The Storm Before the Calm,George Friedman,,4.05,2023
The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,Daniel James Brown,,0.0,0
Art of the Deal,Donald J. Trump,,3.25,16
Smoke Gets in Your Eyes,Caitlin Doughty,,4.22,94982
Revelation space,Alastair Reynolds,,4.1,29
Art of War,Sun Tzu,2,3.68,1329
Travels,Michael Crichton,,3.92,13
The Great Escape,Paul Brickhill,,4.22,10065
Essays in Idleness,Kenko,2,0.0,0
Travis McGee Series,John D. MacDonald,,3.91,18369
Candide,Voltaire,,3.7,23
Millionaire Next Door,Thomas J. Stanley,,4.05,118307
The Mandibles,Lionel Shriver,2,3.7,11103
Factfulness,Hans Rosling,,3.75,8
The Road,Cormac McCarthy,,3.99,925952
Reilly's Luck,Louis L'Amour,,4.27,3489
Road to Serfdom,Friedrich Hayek,,4.67,6
The Dream Machine,M. Mitchell Waldrop,,4.57,1341
Prometheus Rising,Robert Anton Wilson,2,3.0,2
Beyond Good and Evil,Friedrich Nietzsche,2,4.02,98165
The Power and the Glory,Graham Greene,,4.24,33
The Entangled Life,Merlin Sheldrake,,4.35,38329
Dr. Mary's Monkey,Edward T Haslam,,3.96,1920
Book of Tea,Okakura Kakuzo,,3.85,15312
Who Killed Kurt Cobain?,Ian Halperin and Max Wallace,,,
First Light,Geoffrey Wellum,,4.52,3432
Age of Entitlement,Christopher Caldwell,,4.02,1390
A Confederacy of Dunces,John Kennedy Toole,,3.19,69
In the heart of the sea,Nathaniel Philbrick,,4.28,219
Redwall series,Brian Jacques,,4.71,24
Lolita,Vladamir Nabokov,,3.88,865701
The Alchemist,Paulo Coelho,,4.07,273
Bhagavad Gita,Unknown,,4.3,131
Amusing Ourselves to Death,Neil Postman,,4.32,22
Blitzed,Norman Ohler,,4.05,25333
"Free Women, Free Men",Camille Paglia,,3.66,1616
Our Inner Ape,Frans de Waal,,3.0,4172
Life at the bottom,Theodore Dalrymple,,4.23,3559
Keepers of the garden,Dolores Cannon,,4.49,1427
Feersum Endjinn,Iain M Banks,,0.0,0
On Writing,Stephen King,,4.34,293001
Teatro Grottesco,Thomas Ligotti,,4.1,5227
Lord of the World,Robert Hugh Benson,,4.09,3282
Paradise Lost,John Milton,,3.84,168494
Teach Us to Sit Still,Tim Parks,,0.0,0
Nostromo,Joseph Conrad,,3.0,2
The Milagro Beanfield War,John Nichols,,0.0,0
Bronze Age Mindset,Bronze Age Pervert,,3.84,3180
Open Veins of Latin America,Eduardo Galeano,,4.37,38
War and Peace,Leo Tolstoy,,4.16,334208
Beowulf,Various Translations,,,
The Machine Stops,E.M. Forster,,4.07,17487
The Dancing Wu Li Masters,Gary Zukav,,4.09,11
The Mind Illuminated,John Yates,,4.25,4129
Foucault's Pendulum,Umberto Eco,,3.92,13
The Matarese Circle,Robert Ludlum,,0.0,0
The Price of Tomorrow,Jeff Booth,,4.1,3081
The Body keeps the score,Bessel van der Kolk,,3.88,25
Horus Rising,Dan Abnett,,4.23,28711
Ubik,Philip K. Dick,,3.75,4
Hell in a very small place,Bernard Fall,,4.3,2090
"Deep Survival: Who Lives, who dies, and why",Laurence Gonzales,,3.94,13415
That Hideous Strength,C.S. Lewis,,4.26,82
Propaganda,Edward L Bernays,,3.75,7664
The Human Chord,Algernon Blackwood,,3.56,117
The Blind Watchmaker,Richard Dawkins,,3.9,10
The Match King,Frank Partnoy,,3.94,1099
The South,Colm Toibin,,3.66,2091
The Revolt of Angels,Anatole France,,0.0,0
Hiding in Plain Sight,Sarah Kendzior,,4.44,4054
Human Action,Ludwig von Mises,,4.34,4038
West With the night,Beryl Markham,,4.0,28
Jacob's Ladder,Dennis McDougal,,,
Generation Kill,Evan Wright,,4.28,18976
Waiting for Godot,Samuel Beckett,,3.73,67
Eating Animals,Jonathan Safran Foer,,4.21,78559
Pillars of the Earth and World without end,Ken Follet,,4.24,46
2001: A Space Odyssey,Arthur C. Clarke,,3.78,9
Leave Society,Tao Lin,,3.98,1859
The Moral Economy of the Peasant: Rebellion and Subsistence in Southeast Asia,James C. Scott,,4.0,343
Three Comrades,Erich Maria Remarque,,4.48,35370
Lonesome Dove,Larry McMurtry,,5.0,9
Stand on Zanzibar,John Brunner,,2.0,16661
Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,,1.0,0
How the world really works,Vaclav Smil,,1.0,2
The laws of human nature,Robert Greene,,4.52,2157
Our Mathematical Universe,Max Tegmark,,4.24,21
Broken Money,Lyn Alden,,0.0,0
The Creative Act,Rick Rubin,,3.0,0
Leviathan and Its Enemies,Samuel T. Francis,,4.51,69
"Memories, Dreams, Reflections",CG Jung,,4.17,34804
Lady Joker,Kaoru Takamura,,3.59,1397
The Gate Thief,Orson Scott Card,,3.78,16575
1Q84,Haruki Murakami,,0.0,0
Ends and Means,Aldous Huxley,,4.2,238
The Reset,Steven Groovy,,,
A Canticle for Leibowitz,Walter M Miller,,3.71,41
The Rise and Fall of the Third Reich,William Shirer,,4.0,6
Island,Aldous Huxley,,3.88,34
Divided Kingdom,Rupert Thomson,,3.49,1335
Life's Ratchet: How Molecular Machines Extract Order from Chaos,Peter M. Hoffmann,,4.22,655
The Moviegoer,Walker Percy,,4.5,2
Malazan Book of the Fallen,Steven Erikson,,4.5,2
I Could Read the Sky,Timothy O'Grady,,0.0,0
